legislator_name,bioguide_id,fec_id
John J. Duncan Jr.,D000533,H8TN02069
Donna F. Edwards,E000290,H6MD04183
Keith Ellison,E000288,H6MN05183
Renee L. Ellmers,E000291,H0NC02059
Eliot L. Engel,E000179,H8NY19058
Anna G. Eshoo,E000215,H8CA12098
Blake Farenthold,F000460,H0TX27061
Sam Farr,F000030,H4CA17021
Chaka Fattah,F000043,H2PA02055
Stephen Lee Fincher,F000458,H0TN08246
Michael G. Fitzpatrick,F000451,H4PA08074
Jeff Flake,F000444,H0AZ01184
Jeff Flake,F000444,S2AZ00141
"Charles J. ""Chuck"" Fleischmann",F000459,H0TN03254
John Fleming,F000456,H8LA04225
Bill Flores,F000461,H0TX17104
J. Randy Forbes,F000445,H2VA04052
Jeff Fortenberry,F000449,H4NE01064
Virginia Foxx,F000450,H4NC05146
Trent Franks,F000448,H4AZ04024
Rodney P. Frelinghuysen,F000372,H2NJ05014
Marcia L. Fudge,F000455,H8OH11141
John Garamendi,G000559,H0CA10149
Cory Gardner,G000562,H0CO04122
Scott Garrett,G000548,H8NJ05052
Bob Gibbs,G000563,H0OH18077
Christopher P. Gibson,G000564,H0NY20095
Louie Gohmert,G000552,H4TX04039
Bob Goodlatte,G000289,H2VA06115
Paul A. Gosar,G000565,H0AZ01259
Trey Gowdy,G000566,H0SC04257
Kay Granger,G000377,H6TX12060
Chuck Grassley,G000386,S0IA00028
Sam Graves,G000546,H0MO06073
Tom Graves,G000560,H0GA09030
Al Green,G000553,H4TX09095
Gene Green,G000410,H2TX29030
H. Morgan Griffith,G000568,H0VA09055
Raúl M. Grijalva,G000551,H2AZ07070
Brett Guthrie,G000558,H8KY02031
Luis V. Gutiérrez,G000535,H2IL08039
Richard L. Hanna,H001051,H8NY24066
Gregg Harper,H001045,H8MS03067
Andy Harris,H001052,H8MD01094
Vicky Hartzler,H001053,H0MO04086
Alcee L. Hastings,H000324,H2FL23021
Joseph J. Heck,H001055,H0NV03058
Martin Heinrich,H001046,H8NM01224
Martin Heinrich,H001046,S2NM00088
Jeb Hensarling,H001036,H2TX05121
Jaime Herrera Beutler,H001056,H0WA03187
Brian Higgins,H001038,H4NY27076
James A. Himes,H001047,H8CT04172
Rubén Hinojosa,H000636,H6TX15055
Mazie K. Hirono,H001042,H6HI02251
Mazie K. Hirono,H001042,S2HI00106
John Hoeven,H001061,S0ND00093
Michael M. Honda,H001034,H0CA15148
Steny H. Hoyer,H000874,H2MD05155
Tim Huelskamp,H001057,H6KS01146
Bill Huizenga,H001058,H0MI02094
Randy Hultgren,H001059,H0IL14080
Duncan Hunter,H001048,H8CA52052
Robert Hurt,H001060,H0VA05095
Johnny Isakson,I000055,S6GA00119
Johnny Isakson,I000055,H8GA06146
Steve Israel,I000057,H0NY02085
Darrell E. Issa,I000056,H0CA48024
Darrell E. Issa,I000056,S8CA00135
Sheila Jackson Lee,J000032,H4TX18054
Lynn Jenkins,J000290,H8KS02090
Bill Johnson,J000292,H0OH06189
Eddie Bernice Johnson,J000126,H2TX00015
"Henry C. ""Hank"" Johnson Jr.",J000288,H6GA04129
Ron Johnson,J000293,S0WI00197
